OOV check failed for substitution: سٹیشن -> اسٹیشن
OOV check failed for substitution: اڈہ -> اڈا
OOV check failed for substitution: اڈہ -> اڈا
OOV check failed for substitution: ھالہ -> ہالہ
OOV check failed for substitution: ھالہ -> ہالہ
OOV check failed for substitution: باسشاہت -> بادشاہت
OOV check failed for substitution: کلاتی -> کہلاتی
OOV check failed for substitution: ھالہ -> ہالہ
OOV check failed for substitution: ھالہ -> ہالہ
OOV check failed for substitution: پذیر -> پزیر
OOV check failed for substitution: آنا -> آشنا
OOV check failed for substitution: شہنشاہی -> بادشاہ
OOV check failed for substitution: شہشاہ -> بادشاہت
OOV check failed for deleted word: وو
OOV check failed for inserted word: وو
OOV check failed for substitution: اوڈیشا -> اڈیشا
OOV check failed for substitution: اوڈیشا -> اڈیشا
OOV check failed for substitution: اوڈیشا -> اڈیشا
OOV check failed for substitution: اوڈیشا -> اڈیشا
OOV check failed for substitution: اوڈیشا -> اڈیشا
OOV check failed for substitution: اڈیہ -> اوڑیا
OOV check failed for substitution: اڈیہ -> اوڑیا
OOV check failed for substitution: رئال -> ریال
OOV check failed for substitution: رئال -> ریال
OOV check failed for substitution: رئال -> ریال
OOV check failed for substitution: رئال -> ریال
OOV check failed for substitution: رئال -> ریال
OOV check failed for substitution: کرلیا -> کیا
OOV check failed for substitution: امریکہ -> امریکا
OOV check failed for substitution: پذیر -> پزیر
OOV check failed for substitution: زیل -> ذیل
OOV check failed for substitution: مظبوط -> مضبوط
OOV check failed for substitution: دلول -> دلوں
OOV check failed for substitution: افریقہ -> افریقا
OOV check failed for substitution: گلیکٹیلوز -> گلیکٹیکوز
OOV check failed for substitution: میڈرڈ -> میدرد
OOV check failed for substitution: پ -> کہ
OOV check failed for insertion context around: ہوتے
OOV check failed for deletion context around: گے
OOV check failed for substitution: حاکمہ -> عامہ
OOV check failed for substitution: تعطیم -> تعظیم
OOV check failed for substitution: جلد -> جلدوں
OOV check failed for substitution: کاجر -> گاجر
OOV check failed for substitution: ھ -> ۱۲۸ھ
OOV check failed for substitution: ھ -> ۱۲۸ھ
OOV check failed for substitution: تمہارے -> تمھارے
OOV check failed for substitution: سعدیہ -> سعادیا
OOV check failed for insertion context around: نیز
OOV check failed for deletion context around: ہیں
OOV check failed for substitution: اشکناری -> اشکنازی
OOV check failed for substitution: امرام -> عمرام
OOV check failed for substitution: مصنع -> سافٹ
OOV check failed for substitution: لطیف -> ویئر
OOV check failed for substitution: قسم -> اقسام
OOV check failed for substitution: پذیرائی -> پزیرائی
OOV check failed for substitution: امریکہ -> امریکا
OOV check failed for substitution: ڈرامہ -> ڈراما
OOV check failed for substitution: شئے -> شے
OOV check failed for substitution: مستفیز -> مستفید
OOV check failed for substitution: رحمتہ -> رحمۃ
OOV check failed for substitution: تمہاری -> تمھاری
OOV check failed for substitution: تمہارے -> تمھارے
OOV check failed for substitution: ہوے -> ہوئے
OOV check failed for substitution: سکول -> اسکول
